product,output,production,merchandise,book,factorial
makeup,cosmetics,beauty,sephora,product,drugstore
sport,athletics,spectator sport,competition,game,racing
comfort,solace,ease,consolation,relief,pleasure
strong,powerful,hard,robust,stiff,strength
army,military,soldier,militia,conscription,infantry
share,partake,part,stock,allocation,allotment
gold,silver,metal,copper,precious metal,bullion
charity,gift,foundation,benevolence,donation,charitable
night,day,period of time,time period,dusk,dark
referral,refer,recommendation,forwarding,remission,counseling
present,introduce,represent,acquaint,submit,gift
theft,robbery,larceny,embezzlement,shoplifting,crime
advance,move,progress,further,rise,advancement
mislead,misinform,misguide,lead astray,deceive,misdirect
steam,steamer,gas,boiler,water,steam turbine
era,period,epoch,mesozoic,age,paleozoic
housing,home,building,family,mansion,residence
debate,argument,consider,dispute,discussion,controversy
nail,peg,fingernail,toenail,hammer,claw
module,interface,spacecraft,compartment,system,component
date,day,go steady,go out,blind date,appointment
version,translation,variant,adaptation,interpretation,edition
stir,move,arouse,evoke,excite,commotion
elaborate,detailed,expand,enlarge,develop,expound
bury,hide,greater manchester,inter,rochdale,manchester
snake,serpent,squamata,auger,plumber's snake,family
window,fanlight,windowpane,pane,sash window,wall
bank,loan,deposit,banknote,interest,trust
hotdog,hot dog,wiener,frankfurter,frank,weenie
crevice,fissure,crack,fracture,chap,crevasse
undertake,promise,assure,initiate,guarantee,contract
influence,power,force,persuade,impact,enticement
committee,commission,board,panel,subcommittee,council
me,myself,my,us,too,i
tree,forest,wood,shrub,bark,eucalyptus
cell,organism,dna,organelle,cell membrane,cell nucleus
stroll,walk,saunter,amble,promenade,ramble
confuse,confound,befuddle,discombobulate,jumble,disconcert
scenario,premise,scene,script,situation,theatre
demand,claim,call,call for,ask,request
want,wish,need,desire,lack,deprivation
sit,sit down,seat,pose,ride,reseat
complete,perfect,carry out,thorough,accomplish,fulfill
hardware,computer,mainframe,computer hardware,software,cpu
agile,nimble,intelligent,quick,spry,active
smart,intelligent,clever,astute,shrewd,stylish
midnight,night,day,sunset,noon,sunrise
flesh,body,skin,meat,carcass,entrails
retreat,military,withdraw,pull back,recede,retire
prevent,keep,hinder,block,stop,halt
hole,perforation,pit,hollow,pothole,opening
symptom,disease,syndrome,diagnosis,chronic,medicine
harm,injury,hurt,damage,wound,impairment
oppose,contend,resist,fight,argue,controvert
dark,black,shadow,night,gloomy,darkling
stitch,sewing,sew,crochet,embroidery,overcast
thrust,force,push,jab,stab,lunge
urge,encourage,desire,advise,push,advocate
habit,garb,dress,custom,attire,wont
cellar,basement,wine cellar,storage space,attic,refrigerator
physics,purgative,cathartic,aperient,laxative,thermodynamics
ferry,boat,navigation,transport,ship,ferryboat
sweep,brush,broom,sail,move,sweep up
open,open up,opened,give,afford,unfastened
instal,install,invest,establish,set up,put in
challenge,question,appeal,oppugn,dare,call
onion,vegetable,garlic,shallot,leek,allium cepa
rib,bone,vertebrate,rib cage,pelvis,costa
glass,lead glass,glassware,silicon dioxide,mirror,bottle
quarrel,dispute,wrangle,spat,squabble,dustup
plan,project,schedule,blueprint,design,scheme
pier,wharf,quay,dock,breakwater,bridge
opinion,judgment,judgement,belief,idea,thought
zone,region,district,partition,area,territory
nun,convent,monk,abbess,friar,monastery
pollution,air pollution,waste,sewage,contamination,water pollution
beat,trounce,outsmart,vanquish,thrash,overcome
pass,go,break,happen,fall,give
ancestor,progenitor,parent,grandparent,forefather,grandfather
flexible,limber,elastic,pliant,pliable,supple
chip,microchip,flake,microprocessor,biochip,semiconductor
winter,season,autumn,spring,cold,wintertime
bare,naked,plain,nude,denude,strip
porter,harbor,harbour,seaport,cargo,ship
promotion,advancement,marketing,publicity,promote,furtherance
pudding,dessert,custard,sweet,egg,afters
matter,felt,floor,pad,flat,canvas
unrest,agitation,upheaval,turbulence,turmoil,uproar
style,fashion,manner,genre,flair,form
list,lean,inventory,blacklist,enumeration,index
strip,take,remove,take away,withdraw,unclothe
fold,crease,pleat,crimp,wrinkle,plication
beg,quest,implore,pray,request,plead
talkative,chatty,talky,loquacious,garrulous,voluble
do,make,act,go,come,execute
boy,man,male,child,girl,son
at,in,from,to,on,preposition
emotion,fear,anger,sadness,disgust,love
fault,flaw,defect,error,mistake,blame
linger,lurk,persist,hover,dawdle,loiter
stain,blot,spot,blob,dye,paint
budget,plan,agenda,fund,government,project
violation,wrongdoing,infringement,misdemeanor,misconduct,trespass
congress,legislature,visit,assembly,meeting,senate
still,quiet,hush,lull,calm,quieten
chase,hunt,pursuit,go after,pursue,chase after
election,vote,reelection,legislature,referendum,ballot
carry,bear,convey,have,transport,hold
fund,finance,money,hoard,mutual fund,bankroll
bin,dustbin,trash bin,container,wastebin,garbage can
access,approach,entree,entry,admittance,back door
legend,fable,folklore,story,myth,saint
neutral,colorless,objective,uncharged,indifferent,inert
size,length,magnitude,large,small,height
satisfied,fulfill,fulfil,fit,fill,please
prosecute,investigate,deport,pursue,engage,act
sign,symbol,gesture,signal,endorse,symptom
hell,heaven,soul,hades,underworld,religion
worth,worthy,valuable,value,price,pennyworth
program,programme,computer science,computer program,plan,curriculum
jungle,forest,rainforest,tropical,tropical forest,wood
broken,crack,fracture,burst,break in,smash
headline,article,newspaper,banner,head,publication
copper,gold,bronze,zinc,sulfide,tin
money,currency,money supply,medium of exchange,cash,legal tender
inflation,deflation,hyperinflation,stagflation,monetary policy,economy
ranch,farm,cowboy,cattle,livestock,hacienda
Mars,syriac language,christian name,saint,spoil,vitiate
net,clear,profit,gain,sack,profits
critic,reviewer,critique,commentator,criticism,evaluator
strange,unusual,weird,odd,quaint,peculiar
treasurer,treasury,finance,executive,comptroller,commissioner
girl,woman,female,girlfriend,child,adult female
vehicle,bicycle,motorcycle,wheel,truck,car
cereal,grain,wheat,rice,corn,barley
kill,slaughter,dispatch,poison,wipe out,electrocute
eavesdrop,listen in,wiretap,intercept,listen,interrogate
narrow,strait,thin,constrict,narrow-minded,limited
vain,futile,fruitless,conceited,bootless,egotistic
revive,resuscitate,come to,recreate,resurrect,animate
conscious,aware,awareness,cognizant,mind,sensible
take,strip,clean,take away,get,take out
crossing,crisscross,intersect,rood,traverse,cover
meal,lunch,dinner,food,breakfast,supper
accent,dialect,idiom,language,emphasize,pronunciation
splurge,fling,flash,binge,squander,flaunt
history,historian,story,chronicle,historiography,account
horizon,earth,sky,skyline,equator,mirage
arrow,projectile,bow,arrowhead,fletching,dart
play,act,game,flirt,diversion,drama
accident,collision,wreck,mishap,crash,injury
teenager,teen,teenaged,adolescent,menarche,young
revival,rebirth,renaissance,revitalization,resurgence,revivification
corpse,body,cadaver,carcass,torso,morgue
knee,joint,leg,patella,tibia,fibula
soar,rise,fly,glide,surge,sailplane
protest,objection,demonstration,dissent,direct action,protestation
diagram,schematic,graph,blueprint,plot,map
absolute,complete,downright,ultimate,sheer,inviolable
ethnic,people,nation,cultural,ancestor,nationality
beautiful,beauty,gorgeous,pretty,exquisite,lovely
